 3.34232000   -.7250671000    .4849243000
 3.34236000   -.7056580000    .4931335000
 3.34240000   -.6835938000    .5016174000
 3.34276000   -.3316650000    .4715271000
 3.34280000   -.2762146000    .4352112000
 3.34284000   -.2223663000    .3859406000
 3.34320000   -.3316650000   -.2911530000
 3.34324000   -.3987122000   -.3209991000
 3.34328000   -.4644318000   -.3382111000
 3.34364000   -.8102417000   -.2521362000
 3.34368000   -.8284302000   -.2370300000
 3.34372000   -.8439026000   -.2227783000
